Fecha_2024-10-08 00:00:00,Horario_00:00:00,Buffer B-040 m3_3.35,Buffer B-040 %ST_0.0714,SVT (tn)_0.20450745,Ajuste_0.045814149159663885,Carga ideal _3.412671111329522,Carga total siguiente  _3.458485260489186,Carga real _3.458485260489186,Solid B-040 Kg_676.63,Solid B-040 %ST_0.4935,SVT (tn)2_0.312946923366,Ajuste3_-0.00044692336599999605,Carga ideal 4_0.6756636963409514,Carga total siguiente  5_0.6752167729749514,Columna6_0.6752167729749514,Buffer B-050 m3_0,%ST_0.0714,SVT (tn)7_0,Ajuste8_0,Carga ideal 9_0,Carga total siguiente  10_0,Carga real 6_0,Solid B-050 Kg_668.96,Columna11_0.4935,Columna12_0.309399485472,Columna13_-0.0073161521386667094,Columna14_0.6531415731295862,Columna15_0.6458254209909196,Columna16_0.6458254209909196,Trasvase _Unnamed: 30_level_1, Dewatering_Unnamed: 31_level_1, Dewatering_Unnamed: 32_level_1,Corriente_Buffer-040,Tn SV_5,Real TnSV_5,Real (tn Bruta)_81.39220600520909,TnSV/ Carga_0.20833333333333334,% SV_0.855,% SV_0.855.1,% SV_0.855.2,Maximo Carga Solid_1.2,Maximo carga Buffer -040_4.3125,Maximo carga Buffer -050_4.3125,Volumen Maximo B-040_90,Volumen Maximo B-050_0
2024-10-08,01:00:00,3.458485260489186,0.0714,0.21113014969708335,0.016856962169858065,3.412671111329522,3.4295280734993803,3.4295280734993803,687.61,0.4935,0.31802526340200005,-0.012912607318097371,0.6756636963409514,0.662751089022854,0.662751089022854,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,667.55,0.4935,0.30874734891,-0.030226853740827495,0.6531415731295862,0.6229147193887588,0.6229147193887588,,,,Buffer-050,0,0,0,0,0.855,,,,,,,
2024-10-08,02:00:00,3.4295280734993803,0.0714,0.20936240030291667,0.0,3.412671111329522,3.412671111329522,3.412671111329522,692.82,0.4935,0.320434931124,-0.03006891097714603,0.6756636963409514,0.6455947853638053,0.6455947853638053,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,652.85,0.4935,0.30194847837,-0.02993528061124097,0.6531415731295862,0.6232062925183453,0.6232062925183453,,,,Silo 040,7.5,7.5,20.213336159240306,0.3125,0.9372,,,,,,,
2024-10-08,03:00:00,3.412671111329522,0.0714,0.20833333333333334,0.0,3.412671111329522,3.412671111329522,3.412671111329522,690.6,0.4935,0.31940816292,-0.04500521463619483,0.6756636963409514,0.6306584817047566,0.6306584817047566,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,665.87,0.4935,0.307970335134,-0.04266370748165473,0.6531415731295862,0.6104778656479315,0.6104778656479315,,,,Silo 050,7.25,7.249999999999999,19.537951496756058,0.3020833333333333,0.9372,,,Tiempo [s],M3,CAUDAL,SEG A INGRESAR,M3 A INGRESAR
2024-10-08,04:00:00,3.412671111329522,0.0714,0.20833333333333334,0.0,3.412671111329522,3.412671111329522,3.412671111329522,683.59,0.4935,0.31616598043800004,-0.052931518295243306,0.6756636963409514,0.622732178045708,0.622732178045708,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,665.67,0.4935,0.307877833494,-0.055192134352068566,0.6531415731295862,0.5979494387775176,0.5979494387775176,,,,,,,,,,,,3600,90,0.025,135.6,3.39
2024-10-08,05:00:00,3.412671111329522,0.0714,0.20833333333333334,0.0,3.412671111329522,3.412671111329522,3.412671111329522,691.38,0.4935,0.319768919316,-0.06864782195429205,0.6756636963409514,0.6070158743866593,0.6070158743866593,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,669.17,0.4935,0.309496612194,-0.07122056122248178,0.6531415731295862,0.5819210119071044,0.5819210119071044,,,,,,,,,,,,,,,,
2024-10-08,06:00:00,3.33,0.072,0.20499479999999998,0.05423218540177973,3.3842321854017765,3.438464370803556,3.438464370803556,691.05,0.3709,0.24021414905400001,0.11661334324566237,0.8990025185879198,1.0156158618335822,1.0156158618335822,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,665.71,0.3709,0.23140577551080002,0.10856344129456967,0.8690357679683225,0.9775992092628921,0.9775992092628921,,,,Objetivos,,,,,,,,,,,,
2024-10-08,07:00:00,3.438464370803556,0.072,0.2116718666666669,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,1015.6158618335822,0.3709,0.35303567037999967,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,977.5992092628921,0.3709,0.33982079758186656,1.2775594180253617e-15,0.8690357679683225,0.8690357679683238,0.8690357679683238,,,,,Cantidad ,Real ,m3/carga,Comentarios,,,,,,,,
2024-10-08,08:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,869.0357679683239,0.3709,0.30208333333333376,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Trasvase,100,0,4.166666666666667,,,,,,,,,
2024-10-08,09:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,-1.2775594180253617e-15,0.8690357679683225,0.8690357679683212,0.8690357679683212,,,,Dewater,100,0,4.166666666666667,,,,,,,,,
2024-10-08,10:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,869.0357679683211,0.3709,0.3020833333333328,1.2775594180253617e-15,0.8690357679683225,0.8690357679683238,0.8690357679683238,,,,,,,,,,,,,,,,
