FECHA,SILO,SILO 7 CANTIDA PALADA,PESO PALA SILO 7,CANTIDAD PALADAS SILO 8,PESO PALA SILO 6,TOTAL CARGADO,PEDIDO DE SUSTRATO,BIOABONO CANTIDAD PALADAS,PESO PALADA BIOABONO,TOTAL BIOABONO,Contenido ruminal,Expeller,Grano descarte M.E,Polvillo Maiz,OBSERVACiON
FECHA,SILO,SILO 7 CANTIDA PALADA,PESO PALA SILO 7,CANTIDAD PALADAS SILO 8,PESO PALA SILO 6,TOTAL CARGADO,PEDIDO DE SUSTRATO,BIOABONO CANTIDAD PALADAS,PESO PALADA BIOABONO,TOTAL BIOABONO,Contenido ruminal,Expeller,Grano descarte M.E,POLVILLO MAIZ,
2024-09-04 00:00:00,19134,18,1063,0,1050,19134,"2TN DE RUMEN+0.5TNEXPELLER+0,5DESCARTE M.E",0,1063,0,2100,574,633,0,
2024-09-05 00:00:00,24449,23,1063,0,1050,24449,"2TN DE RUMEN+0.5TNEXPELLER+0,5DESCARTE M.E",9,1180,10620,2163,447,633,0,
2024-09-06 00:00:00,25500,25,1020,0,1050,25500,"3,5 TN DE RUMEN + 0.75 TNEXPELLER + 0,75 DESCARTE M.E",10,1180,11800,3592,776,734,0,
2024-09-07 00:00:00,27540,27,1020,0,1050,27540,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1180,0,5080,1043,1061,0,
2024-09-08 00:00:00,28560,28,1020,0,1050,28560,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1180,0,5009,1004,1022,0,
2024-09-09 00:00:00,30600,30,1020,0,1050,30600,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,19,1180,22420,4815,1070,1113,0,
2024-09-10 00:00:00,33660,33,1020,0,1050,33660,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1180,0,5123,1009,1120,0,
2024-09-11 00:00:00,38760,38,1020,0,1050,38760,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1180,0,5200,1030,1106,0,
2024-09-12 00:00:00,35700,35,1020,0,1050,35700,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1180,0,5412,1029,1039,0,
2024-09-13 00:00:00,47300,43,1100,0,1050,47300,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,27,1180,31860,5534,1013,1039,0,
2024-09-14 00:00:00,36300,33,1100,0,1050,36300,5 TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1063,0,5679,1035,1039,0,
2024-09-15 00:00:00,35200,32,1100,0,1050,35200,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1063,0,5823,1078,1012,0,
2024-09-16 00:00:00,38500,35,1100,0,1050,38500,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,12,1063,12756,5039,1056,1025,0,
2024-09-17 00:00:00,50600,46,1100,0,1050,50600,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,9,1063,9567,5236,1085,1063,0,
2024-09-18 00:00:00,49500,45,1100,0,1050,49500,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,18,1120,20160,4771,1011,1190,0,
2024-09-19 00:00:00,41800,38,1100,0,1050,41800,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1120,0,5004,1043,1060,0,
2024-09-20 00:00:00,40700,37,1100,0,1050,40700,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1120,0,5147,1260,1171,0,
2024-09-21 00:00:00,37400,34,1100,0,1050,37400,5TN DE RUMEN + 1 TN EXPELLER + 1 TN DESCARTE M.E,0,1120,0,5263,1095,0,944,
2024-09-22 00:00:00,48400,44,1100,0,1050,48400,5TN DE RUMEN + 1 TN EXPELLER + 1 TN POLVILLO,0,1120,0,4881,1107,0,1072,
2024-09-23 00:00:00,44000,40,1100,0,1050,44000,6TN DE RUMEN + 1 TN POLVILLO,12,1120,13440,6100,0,0,1066,
2024-09-24 00:00:00,53900,36,1100,0,1050,39600,6TN DE RUMEN + 1 TN POLVILLO,16,1120,17920,6200,0,0,960,
2024-09-25 00:00:00,45100,41,1100,0,1050,45100,6TN DE RUMEN + 1 TN POLVILLO,7,1120,7840,6300,0,0,1150,
2024-09-26 00:00:00,36960,42,880,0,1050,36960,6TN DE RUMEN + 1 TN POLVILLO,16,1120,17920,5900,0,0,1090,
2024-09-27 00:00:00,29920,34,880,0,1050,29920,6TN DE RUMEN + 1 TN POLVILLO,9,1120,10080,6190,,0,920,
2024-09-28 00:00:00,44880,51,880,0,1050,44880,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,6250,0,0,1039,0.0
2024-09-29 00:00:00,29920,34,880,0,1050,29920,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,6206,0,0,1012,0.0
2024-09-30 00:00:00,59840,32,880,0,1050,13200,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,6123,0,0,1019,0.0
2024-10-01 00:00:00,74800,39,880,0,1050,34320,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,6321,0,0,1089,0.0
2024-10-02 00:00:00,0,34,880,0,1050,29920,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,5943,0,0,1120,0.0
2024-10-03 00:00:00,89760,19,880,0,1050,16720,6TN DE RUMEN + 1 TN POLVILLO,0,1120,0,6022,0,0,1085,0.0
2024-10-04 00:00:00,104720,21,880,0,1060,18480,6TN DE RUMEN + 1 TN POLVILLO,5,1120,5600,8223,1123,0,520,0.0
2024-10-05 00:00:00,0,29,1165,0,1050,33785,8TN DE RUMEN + 1 TN POLVILLO,0,1120,0,8509,1029,0,0,0.0
2024-10-06 00:00:00,119680,35,1165,0,1050,40775,8TN DE RUMEN + 1 EXPELLER,0,1120,0,8415,1135,0,0,0.0
2024-10-07 00:00:00,0,22,1165,0,1050,25630,8TN DE RUMEN + 1 EXPELLER,25,1180,29500,7920,1070,0,0,0.0
2024-10-08 00:00:00,0,26,1165,0,1050,30290,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",22,1120,24640,8160,1020,0,0,0.0
2024-10-09 00:00:00,0,34,1165,0,1050,39610,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8200,1070,0,0,0.0
2024-10-10 00:00:00,0,33,980,0,1050,32340,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8020,1140,0,0,0.0
2024-10-11 00:00:00,0,29,980,0,0,28420,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,7925,1007,0,0,0.0
2024-10-12 00:00:00,0,31,990,0,0,30690,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",18,1120,20160,8357,1200,0,0,0.0
2024-10-13 00:00:00,0,27,1100,0,0,29700,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8400,1100,0,0,0.0
2024-10-14 00:00:00,0,24,1100,0,0,26400,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",18,1120,20160,8025,1120,0,0,0.0
2024-10-15 00:00:00,0,31,1100,0,0,34100,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8007,975,0,0,0.0
2024-10-16 00:00:00,0,29,1120,0,0,32480,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8035,1250,0,0,0.0
2024-10-17 00:00:00,0,30,1110,0,0,33300,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",17,1120,19040,7890,1010,0,0,0.0
2024-10-18 00:00:00,0,29,1000,0,0,29000,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",2,1120,2240,8023,1035,0,0,0.0
2024-10-19 00:00:00,0,29,1000,0,0,29000,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,7910,970,0,0,0.0
2024-10-20 00:00:00,0,27,950,0,0,25650,"8 TN DE RUMEN + 1 EXPELLER + 0,5 Polv",0,1120,0,8074,960,0,0,0.0
2024-10-21 00:00:00,0,28,950,0,0,26600,8TN DE RUMEN + 1 EXPELLER,0,1120,0,7965,985,0,0,0.0
2024-10-22 00:00:00,0,17,950,0,0,16150,"8TN DE RUMEN + 1,5 EXPELLER",12,1120,13440,7830,925,0,0,0.0
2024-10-23 00:00:00,0,28,950,0,0,26600,7 TN DE RUMEN + 2 EXPELLER,6,1120,6720,6835,2015,0,0,0.0
2024-10-24 00:00:00,0,28,1000,0,0,28000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",24,1120,26880,4985,1980,470,0,0.0
2024-10-25 00:00:00,0,28,1000,0,0,28000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",0,1120,0,5420,2180,590,0,0.0
2024-10-26 00:00:00,0,31,1000,0,0,31000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",0,1120,0,5100,2200,700,0,0.0
2024-10-27 00:00:00,0,33,1000,0,0,33000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",0,1120,0,5098,2023,644,0,0.0
2024-10-28 00:00:00,0,33,1000,0,0,33000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",27,1120,30240,5270,2130,525,0,0.0
2024-10-29 00:00:00,0,30,900,0,0,27000,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",0,1120,0,4927,2115,517,0,0.0
2024-10-30 00:00:00,0,27,900,0,0,24300,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",17,1000,17000,5340,1920,610,0,0.0
2024-10-31 00:00:00,0,34,950,0,0,32300,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",0,1120,0,5210,2355,565,0,0.0
2024-11-01 00:00:00,0,24,950,0,0,22800,"5 TN DE RUMEN + 2 EXPELLER + 0,5 desca ",15,1000,15000,5490,2040,580,0,0.0
2024-11-02 00:00:00,0,25,950,0,0,23750,"5 TN DE RUMEN + 2 TN EXPELLER + 0,5 Pol + 0,5 grasa",0,1120,0,5600,1920,515,0,530.0
2024-11-03 00:00:00,0,9,950,0,0,8550,"5 TN DE RUMEN + 2 TN EXPELLER + 0,5 Pol + 0,5 grasa",0,1120,0,5620,1950,0,580,630.0
2024-11-04 00:00:00,0,37,950,0,0,35150,"5 TN DE RUMEN + 2 TN EXPELLER + 0,5 Pol + 1 grasa",0,0,0,5700,2170,0,480,1230.0
2024-11-05 00:00:00,0,23,950,0,0,21850,"5 TN DE RUMEN + 1,5 TN EXPELLER + 0,5 Pol + 1,5 grasa",32,1200,38400,4890,1550,0,640,1470.0
2024-11-06 00:00:00,0,28,950,0,0,26600,"5 TN DE RUMEN + 1,5 TN EXPELLER + 0,5 Pol + 1,5 grasa",21,1200,25200,4870,1460,0,520,1590.0
2024-11-07 00:00:00,0,34,950,0,0,32300,"5 TN DE RUMEN + 1,5 TN EXPELLER + 0,5 Pol + 1,5 grasa",3,0,0,5410,1630,0,540,1575.0
2024-11-08 00:00:00,0,29,950,0,0,27550,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5Pol + 1,5 grasa",4,0,0,5880,2020,0,650,1530.0
2024-11-09 00:00:00,0,26,950,0,0,24700,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5Pol + 1,5 grasa",5,0,0,5646,2116,0,600,1622.0
2024-11-10 00:00:00,0,23,950,0,0,21850,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5Pol + 1,5 grasa",0,0,0,0,0,0,0,0.0
2024-11-11 00:00:00,0,31,950,0,0,29450,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5 Pol ",0,0,0,5460,1610,0,580,1730.0
2024-11-12 00:00:00,0,19,940,0,0,17860,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5 Pol ",0,0,0,5880,1535,0,470,1430.0
2024-11-13 00:00:00,0,28,940,0,0,26320,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5 Pol ",16,1100,17600,5300,1560,0,600,1490.0
2024-11-14 00:00:00,0,28,950,0,0,26600,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5 Pol ",14,1100,15400,5750,2200,0,540,0.0
2024-11-15 00:00:00,0,24,850,0,0,20400,"5 TN DE RUMEN + 2 TN DE EXPELLER + 0,5 Pol ",0,0,0,5600,2150,0,620,0.0
2024-11-16 00:00:00,0,23,850,0,0,19550,"8 TN DE RUMEN + 2,5 TN DE EXPELLER + 0,5 Pol ",0,0,0,8400,2630,0,610,0.0
