Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2023-05-29,22,Goma vegetal girasol,Agroindustria Menarba S.R.L.,,Mauro Traversaro,5030.0,Buffer,0,WTG 975,0.016,Sebastián,,,Cargill S.A.C.I.,,
2023-06-08,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29292.0,Buffer,1,JXS011/GDF812,0.117,,,,S.A. Imp. y Exp. de la Patagonia,,1.0
2023-06-09,23,Lactosa,Remotti S.A.,,Federico Fogliatto,29422.0,Buffer,2,JXS011/GDF812,0.0839,,,,Frigorífico General Pico S.A.,,1.0
2023-06-15,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28527.0,Buffer,3,JXS011/GDF812,0.1118,Cristián,,,Pelayo S.A.,,1.0
2023-06-16,24,Lactosa,Remotti S.A.,,Federico Fogliatto,29003.0,Buffer,4,JXS011/GDF812,0.1076,Cristián,,,Remotti S.A.,,1.0
2023-06-22,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28900.0,Buffer,5,NYX029/IED478,0.0655,Jason,,,Blessing Aceitera de Ameghino S.A.,,1.0
2023-06-23,25,Lactosa,Remotti S.A.,,Federico Fogliatto,29940.0,Buffer,6,JXS011/GDF812,0.083,Jason,,,Bandagro S.A.,,1.0
2023-06-28,26,Grasa DAF,Remotti S.A.,,Mauro Traversaro,5000.0,Buffer,7,WTG 975,0.469,Agustín,,,Maria Elena S.A.,,1.0
2023-06-29,26,Lactosa,Remotti S.A.,,Federico Fogliatto,27940.0,Buffer,8,KKS989/HQK247,0.0693,Agustín,,,Nonna Pia S.R.L.,,1.0
2023-06-30,26,Lactosa,Remotti S.A.,,Federico Fogliatto,27004.0,Buffer,9,VXV011/GDF812,0.0754,Agustín,,,,,1.0
2023-07-06,27,Lactosa,Remotti S.A.,,Federico Fogliatto,26820.0,Buffer,10,NYX029/IED478, ,Leonardo,,,,,1.0
2023-07-07,27,Lactosa,Remotti S.A.,,Federico Fogliatto,26653.0,Buffer,11,SXS011/GDF812,0.079,Cristián,,,,,1.0
2023-07-20,29,trigo mal estado,Maria Elena S.A.,,Maria Elena S.A.,2800.0,Playón,589,,,Agustin ,,,,,578.0
2023-07-21,29,Lactosa,Remotti S.A.,,Eduardo fernandez,30020.0,Buffer,12,KKS989/HQK247,0.0903,Agustín,,,,,-577.0
2023-07-25,30,Contenido ruminal,Frigorífico General Pico S.A.,,Lopez Matias,23380.0,Playón,13,MBU036/AE080EF, ,Leonardo,,,,,1.0
2023-07-27,30,Lactosa,Remotti S.A.,,Federico Fogliatto,30008.0,Buffer,14,SXS011/GDF812, ,Leonardo,,,,,1.0
2023-07-28,30,Lactosa,Remotti S.A.,,Federico Fogliatto,31400.0,Buffer,15,AGO 01 MB/JFD 165, ,Leonardo,,,,,1.0
2023-08-01,31,Estiercol (bovino),Tambo La Lucila ,,Mauro Traversaro,5000.0,Buffer,16,WTG 975, ,Cristián,,,,,1.0
2023-08-02,31,Lactosa,Remotti S.A.,,Federico Fogliatto,30513.0,Buffer,17,AGO 01 MB/JFD 165, ,Cristián,,,,,1.0
2023-08-03,31,Cebada,Maria Elena S.A.,,Maria Elena S.A.,5080.0,Playón,590,,,Agustin ,,,,,573.0
2023-08-03,31,Lactosa,Remotti S.A.,,Federico Fogliatto,29420.0,Buffer,18,JXJ011/GDF812, ,Cristián,,,,,
2023-08-04,31,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,58100.0,Playón,591,,,Agustin ,,,,,1.0
2023-08-09,32,Lactosa,Remotti S.A.,,Federico Fogliatto,29340.0,Buffer,19,NYX029/IED478,,Jason,,,,,-572.0
2023-08-10,32,Lactosa,Remotti S.A.,,Federico Fogliatto,29420.0,Buffer,20,JXJ011/GDF812,,Jason,,,,,1.0
2023-08-14,33,Lactosa,Remotti S.A.,,Federico Fogliatto,28680.0,Buffer,21,JXJ011/GDF813,,Jason,,,,,1.0
2023-08-15,33,Lactosa,Remotti S.A.,,Federico Fogliatto,23410.0,Buffer,22,5X5011/GDF011,0.0946,Agustín,,,,,1.0
2023-08-16,33,Lactosa,Remotti S.A.,,Federico Fogliatto,31470.0,Buffer,23,AG001MB/JFD165,0.1126,Agustín,,,,,1.0
2023-08-17,33,Lactosa,Remotti S.A.,,Federico Fogliatto,30008.0,Buffer,24,AG001MB/JFD165,,Agustín,,,,,1.0
2023-08-18,33,Lactosa,Remotti S.A.,,Federico Fogliatto,31400.0,Buffer,25,AG001MB/JFD165,,Leonardo,,,,,1.0
2023-08-22,34,Lactosa,Remotti S.A.,,Federico Fogliatto,27440.0,Buffer,26,AG001MB/JFD165,,Leonardo,,,,,1.0
2023-08-23,34,Descarte de maíz duro,Cargill S.A.C.I.,,Faundes Sergio,7780.0,Playón,29,AG001MB/JFD165,,Leonardo,,,,,3.0
2023-08-24,34,Lactosa,Remotti S.A.,,Federico Fogliatto,29500.0,Buffer,27,AG001MB/JFD166,,Cristián,,,,,-2.0
2023-08-23,34,Lactosa,Remotti S.A.,,Federico Fogliatto,29380.0,Buffer,28,AG001MB/JFD165,,Leonardo,,,,,1.0
