vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-05-30 00:00:00,,,8.24,921,4825,0.191,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
2022-05-31 00:00:00,,,8.17,1004,4900,0.205,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
2022-06-02 00:00:00,,,8.12,589,5325,0.111,,,,,,,,,,0.197,,,,,,1093,,,,,,,,,,,,,,,
2022-06-06 00:00:00,,,8.12,423,4625,0.091,,,,,,,,921,4525,0.203,,,,,,,,,,,,,,,,,,,,,
2022-06-22 00:00:00,,,7.61,1502,4900,0.307,,,,,,,,921,4900,0.188,,,,,,,,,,,,,,,,,,,,,
2022-06-24 00:00:00,,,7.27,2747,5550,0.495,,,,,,,,589,4800,0.12,,,,,,,,,,,,,,,,,,,,,
2022-06-25 00:00:00,,,7.45,2083,5525,0.377,,,,,,,,1170,4800,0.244,,,,,,,,,,,,,,,,,,,,,
2022-06-26 00:00:00,,,7.5,1751,5700,0.307,,,,,,,,506,4675,0.108,,,,,,,,,,,,,,,,,,,,,
2022-06-27 00:00:00,,,7.46,2000,5500,0.364,,,,,,,,257,5250,0.049,,,,,,,,,,,,,,,,,,,,,
2022-06-28 00:00:00,,,7.61,1751,6525,0.268,,,,,,,,838,4925,0.17,,,,,,,,,,,,,,,,,,,,,
2022-06-28 00:00:00,,,7.66,2000,6775,0.295,,,,,,,,779.9,4500,0.173,,,,,,,,,,,,,,,,,,,,,
2022-06-29 00:00:00,,,7.51,2415,6350,0.38,,,,,,,,589,4625,0.127,,,,,,,,,,,,,,,,,,,,,
2022-06-29 00:00:00,,,7.73,1253,6475,0.194,,,,,,,,672,4550,0.148,,,,,,,,,,,,,,,,,,,,,
