Fecha,Hora,Responsable,Proveedor,Muestra,Nº Remito,pH,Peso de muesta,ST,Tiempo de análisis,Temperatura,Observaciones,RENDIMIENTO,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1900-01-12,07:38:00,Cristian,,Lactosa,,5.52,3.99,0.1355,27:40*,120.0,,,,,Lactosa,Leonardo
1900-01-12,10:04:00,Cristian,,PURIN,,,3.99,0.0288,25:04*,120.0,,,,,Biodigestor 040 ,Cristian
1900-01-12,11:58:00,Cristian,,buffer tank,,,3.99,0.0862,25:20*,120.0,,,,,Biodigestor 050,Agustin
2023-09-12,11:00:00,Gonzalo,,Lactosa,N°42,6.1,,0.1336,,120.0,,,,,Buffer tank,Jason
2023-09-12,11:20:00,Gonzalo,,Lactosa,N°42,6.1,,0.1321,,120.0,,,,,Silo 5,
2023-09-12,11:51:00,Gonzalo,,Biodigestor 050,,8.9,,"5,80%",,120.0,,,,,Silo 6,
2023-09-12,12:00:00,Gonzalo,,Biodigestor 040 ,,8.03,,"7,10%",,120.0,,,,,Purín,
2023-09-12,13:50:00,Gonzalo,,Lactosa,N°25,,3.755,0.1225,19:10:00,120.0,,,,,,
2023-09-12,14:00:00,Gonzalo,,Lactosa,N°25,,4.109,0.1253,,120.0,,,,,,
2023-09-12,,Gonzalo,,Lactosa,N°31,,3.103,0.1241,20:46:00,120.0,,,,,,
2023-09-12,,Gonzalo,,Silo 6,,,7.932,0.4551,41:26*,120.0,,,,,,
2023-09-13,08:50:00,Gonzalo,,Lactosa,N°38,,3.426,0.1258,19:46:00,120.0,,,,,,
2023-09-13,09:30:00,Gonzalo,,Lactosa,N°43,,,0.1267,,120.0,,,,,,
2023-09-13,10:00:00,Gonzalo,,Lactosa,N°37,,2.753,0.1246,16:56:00,120.0,,,,,,
2023-09-13,14:10:00,Gonzalo,,Lactosa,N°14,,5.762,0.1198,26:20*,120.0,,,,,,
2023-09-13,14:40:00,Gonzalo,,Lactosa,N°26,,3.456,0.1172,15:46:00,120.0,,,,,,
2023-09-13,15:10:00,Gonzalo,,Lactosa,N°27,,8.399053627760253,0.1268,31:02*,120.0,,,,,,
2023-09-14,10:00:00,Gonzalo,,Silo 5,,,8.962465169644322,0.6101,37:14*,120.0,,,,,,
2023-09-14,11:30:00,Gonzalo,,Lactosa,N°44,,2.096,0.125,16:00:00,120.0,,,,,,
2023-09-14,12:50:00,Gonzalo,,Lactosa,N°22,,3.8719806763285023,0.1242,,120.0,,,,,,
2023-09-14,14:10:00,Gonzalo,,Lactosa,N°23,,3.8735177865612647,0.1265,19:34:00,120.0,,,,,,
2023-09-14,14:45:00,Gonzalo,,Lactosa,N°21,,,0.1173,,120.0,,,,,,
2023-09-14,15:30:00,Gonzalo,,Lactosa,N°21,,4.06301824212272,0.1206,,120.0,,,,,,
2023-09-15,10:05:00,Gonzalo,,Lactosa,N°45,5.09,2.082,0.1282,12:32:00,120.0,,,,,,
2023-09-15,10:35:00,Gonzalo,,Lactosa,N°24,4.69,2.891,0.1204,13:06:00,120.0,,,,,,
2023-09-15,10:55:00,Gonzalo,,Lactosa,N°28,4.96,3.645,0.1278,19:08:00,120.0,,,,,,
2023-09-15,12:45:00,Gonzalo,,Lactosa,N°33,5.02,3.054,0.125,14:14:00,120.0,,,,,,
2023-09-15,12:55:00,Gonzalo,,Lactosa,N°34,4.88,4.004,0.1219,18:38:00,120.0,,,,,,
2023-09-15,13:15:00,Gonzalo,,Lactosa,N°36,4.66,3.276,0.1224,17:34:00,120.0,,,,,,
2023-09-15,13:40:00,Gonzalo,,Lactosa,N°32,4.86,3.764,0.1217,16:52:00,120.0,,,,,,
2023-09-18,09:30:00,Gonzalo,,Silo 5,,,7.997921718046415,0.2887,33:46*,120.0,Sector de mezcla con sorgo,,,,,
2023-09-18,09:55:00,Gonzalo,,Lactosa,N°46,4.81,4.694,0.1242,21:22:00,120.0,,,,,,
2023-09-18,10:40:00,Gonzalo,,Purín,,7.53,,0.0302,14:48:00,120.0,,,,,,
2023-09-19,10:00:00,Gonzalo,,Lactosa,N°47,5.92,5.7,0.127,25:00*,120.0,,,,,,
2023-09-19,10:30:00,Gonzalo,,Silo 5,,,4.394,0.6497,21:04:00,120.0,,,,,,
2023-09-19,11:55:00,Gonzalo,,Purín,,8.3,1.297709923664122,0.0131,11:22:00,120.0,,,,,,
2023-09-19,16:10:00,Gonzalo,,Salida a laguna,,,2.571,0.0572,15:32:00,120.0,,,,,,
